area,rooms,bathroom,parkingSpaces,floor,animal,furniture,hoa,rentAmount,propertyTax,fireInsurance,total
90,3,3,1,10,1,0,1250,3800,147,49,5246
45,1,2,1,15,1,1,856,3900,150,50,4956
150,2,3,4,6,1,0,1700,4000,700,52,6452
60,2,1,0,2,1,0,200,1445,0,19,1664
31,1,1,0,4,1,0,370,2350,56,30,2806
210,4,5,4,4,0,0,1650,9000,772,115,11540
280,3,1,2,0,1,0,0,6000,113,91,6204
93,2,3,2,9,1,0,663,5500,133,70,6366
75,3,2,1,9,1,0,340,1800,109,27,2276
194,3,4,3,0,1,0,0,4000,70,61,4131
41,1,1,1,6,1,1,523,4000,131,51,4705
65,1,1,1,8,1,1,2000,5100,250,66,7416
70,2,1,1,13,1,0,761,2150,67,28,3006
278,4,5,2,16,1,1,4052,9000,1261,115,14430
35,1,1,0,5,1,0,306,1521,21,20,1868
300,4,4,3,2,1,0,2300,6000,417,77,8794
61,2,1,1,4,1,0,459,1850,0,24,2333
130,3,2,1,7,1,0,1660,1700,475,22,3857
80,2,1,1,20,1,0,500,900,90,12,1502
164,4,4,2,6,0,0,2159,5000,386,64,7609
220,4,2,3,3,1,0,450,2422,125,33,3030
45,1,1,0,0,1,0,0,1050,46,16,1112
108,3,2,2,7,1,0,1290,5600,435,71,7396
128,1,1,0,4,1,1,418,2100,182,28,2728
60,1,1,0,10,0,0,450,1800,48,24,2322
250,4,5,4,6,1,0,2050,9800,998,125,12970
47,1,1,1,1,0,1,400,2200,0,33,2633
170,4,3,4,9,0,0,744,2700,296,36,3776
45,1,1,0,1,0,0,300,1240,0,16,1556
42,1,1,1,15,1,0,686,3500,123,45,4354
164,4,4,3,1,1,0,1840,6000,550,77,8467
70,3,1,1,1,1,0,700,1020,200,13,1933
100,4,3,1,8,1,0,600,2200,159,33,2992
64,2,2,2,4,1,1,1300,4500,440,58,6298
68,2,1,1,3,1,0,320,1200,27,16,1563
75,2,2,2,14,0,0,620,2500,264,34,3418
600,4,4,4,9,1,0,7400,8500,3368,108,19380
63,2,2,0,15,0,0,590,1550,152,20,2312
145,3,4,3,1,0,0,1200,6000,750,77,8027
85,2,2,2,3,0,0,1500,2800,292,36,4628
254,4,4,4,7,1,0,3366,9000,1800,115,14280
350,4,4,4,0,1,1,1,9000,359,160,9520
300,4,4,3,0,1,0,0,3500,584,53,4137
296,4,3,2,0,1,0,0,13500,423,222,14150
64,2,2,2,8,1,0,450,2800,30,36,3316
133,3,2,0,6,1,0,813,2957,38,38,3846
44,1,1,0,7,1,0,350,550,12,7,919
240,3,4,2,0,1,0,0,3000,250,46,3296
70,3,2,1,4,1,0,490,2500,8,37,3035
22,1,1,0,26,1,0,302,2050,45,26,2423
50,1,1,1,1,1,0,350,950,50,14,1364
67,3,2,2,4,1,0,600,2200,50,33,2883
31,1,1,0,6,1,1,430,2300,0,30,2760
90,2,1,1,1,1,1,850,3468,191,45,4554
109,3,3,1,1,1,0,2000,3800,300,49,6149
400,4,2,2,0,0,0,0,2500,74,41,2615
300,4,5,4,0,1,1,0,14000,1167,211,15380
284,4,3,3,4,1,0,2340,6000,483,77,8900
70,2,1,1,3,1,1,360,2400,30,36,2826
309,4,5,4,7,1,0,2661,6500,682,84,9927
70,2,1,0,0,1,0,0,2100,134,32,2266
360,3,4,1,10,1,0,2300,10000,584,127,13010
30,1,1,1,10,0,0,886,1500,0,20,2406
80,2,2,2,11,1,0,832,2200,171,28,3231
133,4,4,3,6,0,0,1500,7000,800,94,9394
38,1,1,1,14,0,1,1620,2800,279,36,4735
73,2,2,1,7,1,0,1100,3500,100,45,4745
155,3,4,2,4,1,0,1500,2000,150,26,3676
63,2,2,1,15,1,0,357,3200,50,41,3648
58,2,1,1,1,1,0,0,1400,0,18,1418
48,1,1,0,9,0,1,377,3450,0,44,3871
210,3,4,3,7,1,0,1700,2790,834,36,5360
100,3,2,2,2,1,0,340,1600,183,22,2145
94,3,2,2,1,1,0,1337,3570,140,46,5093
94,3,3,2,3,1,1,1220,5010,395,64,6689
76,3,1,1,4,1,0,1200,2500,267,32,3999
192,3,3,2,13,1,0,2100,7800,634,99,10630
217,3,4,3,1,1,0,2884,6500,0,83,9467
68,2,1,1,5,1,0,610,1400,35,18,2063
110,3,2,2,2,1,0,1145,2400,247,31,3823
95,2,2,1,3,1,0,660,1600,164,22,2446
900,4,6,8,0,1,0,0,15000,4417,226,19640
34,1,1,0,5,0,0,347,1200,45,16,1608
192,3,4,3,5,1,0,2000,8000,0,102,10100
62,2,2,1,9,1,0,350,1800,75,27,2252
180,3,3,4,0,1,0,0,3700,184,56,3940
44,1,1,0,3,1,1,350,916,12,12,1290
100,2,1,1,1,0,0,250,1700,116,23,2089
140,3,3,1,24,0,0,900,1370,100,18,2388
170,3,3,3,8,1,1,1570,2800,648,36,5054
100,3,2,2,0,0,0,0,1600,150,25,1775
75,3,2,2,4,1,0,652,1600,82,21,2355
52,2,1,0,2,1,0,200,1200,43,16,1459
999,5,7,8,0,1,0,0,14000,667,211,14880
270,4,4,4,8,1,0,2200,7000,1500,89,10790
50,2,1,1,1,1,0,160,930,60,13,1163
200,3,3,2,0,1,0,650,2210,184,34,3078
71,2,2,0,16,1,0,430,1920,100,25,2475
500,5,4,6,0,1,0,0,13000,250,196,13450
60,2,1,0,0,1,0,0,1080,94,17,1191
110,2,1,0,8,1,0,1100,1300,84,17,2501
210,3,3,4,0,1,0,0,3294,276,50,3620
220,3,4,3,8,1,0,2021,6000,996,77,9094
200,3,2,5,0,0,0,0,4000,204,66,4270
130,3,4,3,2,1,0,2300,4250,502,54,7106
65,2,2,2,7,1,1,1037,4000,245,51,5333
96,3,2,2,17,1,0,804,3200,250,41,4295
660,4,5,5,12,1,1,4800,20000,1750,254,26800
107,3,2,0,7,1,1,1460,3200,270,42,4972
105,3,2,0,1,1,0,740,2200,9,29,2978
100,3,2,0,7,1,0,900,3290,109,43,4342
287,3,4,4,0,1,1,0,9000,430,136,9566
24,1,1,0,1,0,1,230,1180,9,15,1434
22,1,1,0,0,0,0,0,976,0,15,991
70,1,1,1,0,0,0,0,2529,142,39,2710
44,1,1,1,2,1,1,250,1500,17,22,1789
150,3,2,2,0,0,0,0,2500,0,38,2538
90,1,2,2,9,1,1,998,2900,220,37,4155
200,4,4,2,8,1,1,3000,2800,830,36,6666
320,8,4,0,0,1,0,450,10500,350,158,11460
90,2,1,1,2,0,0,550,1700,110,25,2385
240,4,4,3,9,1,0,2500,2144,834,28,5506
154,4,3,3,21,1,0,1684,7000,1020,89,9793
60,2,2,2,2,1,0,2340,3230,284,41,5895
101,3,2,0,5,1,0,780,2380,91,31,3282
140,3,4,2,0,0,0,0,3090,0,55,3145
500,4,5,8,0,1,0,0,15000,1850,226,17080
110,3,3,3,4,1,0,1195,2350,687,30,4262
110,3,3,2,0,1,0,0,4800,50,73,4923
90,2,2,2,3,1,0,200,2000,84,27,2311
384,4,6,4,3,0,1,3500,15000,344,191,19040
57,2,1,1,7,1,0,570,1500,67,20,2157
160,3,3,2,5,1,1,1650,1500,419,20,3589
39,1,1,0,8,1,0,330,1250,19,16,1615
78,1,2,1,4,1,0,0,2290,143,30,2463
36,1,1,1,0,1,0,0,762,15,14,791
70,2,1,1,1,1,0,558,1200,0,16,1774
45,1,1,1,4,0,1,300,3200,0,43,3543
200,3,4,3,1,1,0,3500,8500,1250,108,13360
100,3,3,3,0,1,0,0,4300,120,65,4485
42,1,1,1,14,0,0,0,5000,0,64,5064
280,4,4,1,1,1,1,3000,8000,292,102,11390
28,1,1,1,13,0,1,615,2800,42,36,3493
30,1,1,0,0,0,1,296,1826,30,24,2176
85,3,2,1,1,1,0,337,1500,88,20,1945
83,1,1,1,4,0,0,500,1080,59,14,1653
85,3,2,2,16,1,1,550,3300,150,42,4042
90,3,2,2,3,1,0,325,1600,105,22,2052
50,2,1,0,5,1,0,0,900,100,12,1012
50,1,1,0,8,1,0,600,2900,134,38,3672
300,3,2,3,0,0,0,0,6700,539,110,7349
39,1,1,0,7,1,0,350,850,27,13,1240
750,4,4,6,0,1,0,0,15000,2084,226,17310
60,2,1,0,1,1,0,222,1100,46,17,1385
68,2,1,0,4,0,0,750,1250,9,17,2026
70,2,1,1,0,1,0,230,1250,50,16,1546
90,2,2,1,6,1,1,900,6500,89,83,7572
258,5,6,0,0,1,0,0,8700,670,133,9503
200,2,2,6,0,1,0,0,4500,292,68,4860
123,2,2,2,6,1,0,1800,2990,625,38,5453
127,3,2,2,0,1,1,220,2150,67,33,2470
180,4,2,2,0,1,0,0,1800,210,30,2040
110,3,2,0,0,0,0,0,2900,384,44,3328
70,2,2,1,7,1,1,585,1719,77,23,2404
35,1,1,1,8,1,1,720,3000,130,39,3889
219,3,2,2,0,1,0,0,2900,150,44,3094
25,1,1,0,0,1,0,50,700,0,10,760
170,4,5,0,10,1,0,1200,7100,639,92,9031
45,1,1,0,8,1,0,900,1570,98,21,2589
420,4,4,2,0,0,0,0,7000,200,115,7315
46,1,1,0,4,1,0,0,1040,48,16,1104
145,3,3,2,1,1,1,1088,5800,250,74,7212
59,2,2,1,2,1,0,190,1100,59,15,1364
225,4,3,0,8,1,0,1850,7500,466,100,9916
210,4,4,3,3,1,0,2270,4675,1110,60,8115
76,1,1,0,0,1,0,209,1249,52,19,1529
220,3,4,3,2,0,0,2500,5150,1250,66,8966
109,3,2,2,7,1,0,1746,2500,134,32,4412
95,2,1,1,3,1,0,646,1000,120,14,1780
32,1,1,0,0,0,0,280,1500,50,20,1850
480,4,6,5,9,1,0,6660,15000,3063,191,24910
53,1,1,1,3,1,0,694,4390,200,56,5340
40,1,1,0,0,0,0,0,780,17,12,809
50,1,1,1,4,1,1,500,3223,100,41,3864
60,1,1,0,0,1,0,0,1300,255,20,1575
64,2,2,2,7,0,0,450,1500,50,22,2022
140,3,3,2,4,1,1,2280,12000,535,155,14970
121,3,3,1,12,1,0,800,2040,334,26,3200
43,1,1,1,4,1,1,498,2100,84,27,2709
20,1,1,1,3,0,1,1700,1360,0,18,3078
58,2,1,1,3,1,0,289,950,11,13,1263
570,5,6,7,0,1,1,0,8330,873,137,9340
88,2,1,1,2,1,0,980,2790,0,36,3806
89,3,2,2,19,1,0,900,6000,184,77,7161
47,1,1,1,1,0,1,400,2200,0,33,2633
40,1,1,0,0,1,0,0,1100,50,17,1167
40,1,1,0,1,1,1,386,1950,91,26,2453
60,1,2,1,3,1,0,400,750,80,10,1240
25,1,1,0,14,1,0,257,1650,0,21,1928
50,2,1,0,13,1,0,340,1130,30,17,1517
90,3,1,0,1,1,0,145,1130,55,17,1347
173,3,3,3,2,1,0,3000,2000,825,26,5851
91,3,2,2,12,1,0,700,2250,175,29,3154
90,3,2,2,6,0,0,1710,1200,109,16,3035
530,5,6,4,2,1,1,8300,15000,5000,191,28490
155,1,4,0,4,0,0,1117000,2790,64,38,1120000
40,1,1,0,0,0,0,0,1300,0,17,1317
296,4,5,3,3,1,0,0,15000,0,191,15190
87,3,2,1,17,1,0,850,1400,200,18,2468
300,3,3,5,0,1,0,0,5000,584,76,5660
136,3,3,3,13,1,0,1430,4206,364,54,6054
52,2,1,0,4,1,0,0,1340,0,17,1357
94,2,2,2,8,1,0,600,2900,230,43,3773
300,4,5,3,7,1,0,3850,12750,750,165,17520
100,3,3,1,3,1,0,850,3229,100,42,4221
500,4,6,3,0,1,0,6466,7300,2536,110,16410
240,3,4,3,3,1,1,3600,4950,1000,63,9613
308,2,3,3,0,1,0,0,2000,171,33,2204
350,4,5,4,15,1,1,2700,4590,1334,59,8683
75,2,2,0,2,1,0,570,1450,0,19,2039
155,3,2,3,4,1,1,2600,11700,667,149,15120
260,3,5,4,12,1,0,2227,6000,1468,77,9772
80,2,2,1,0,0,0,0,1500,184,23,1707
85,3,1,1,6,1,0,810,1998,87,26,2921
120,2,2,2,22,0,1,1400,3500,375,45,5320
100,2,2,1,0,1,0,0,1970,0,30,2000
240,4,5,4,6,0,0,1869,3500,717,45,6131
360,7,6,6,0,1,0,0,5270,245,80,5595
42,1,1,0,0,0,0,0,1100,0,17,1117
33,1,1,1,14,1,1,600,2800,112,36,3548
48,1,1,0,1,0,0,626,1020,53,14,1713
36,1,1,0,5,1,0,350,1130,42,15,1537
270,6,3,6,0,1,0,0,4500,417,68,4985
75,2,1,1,2,1,0,670,1200,121,16,2007
46,2,1,0,3,0,0,270,1600,0,21,1891
350,3,3,3,0,0,0,0,10000,1292,151,11440
131,3,3,1,10,1,1,1625,1750,121,26,3522
90,3,2,1,3,1,0,920,1300,129,17,2366
26,1,1,0,4,0,0,390,1650,120,22,2182
44,1,1,0,3,1,1,400,1100,14,15,1529
70,2,2,0,0,1,0,0,1880,0,29,1909
40,1,1,0,0,0,0,0,900,0,15,915
320,4,2,4,0,1,0,0,3200,206,53,3459
213,2,2,3,0,1,0,0,5150,0,78,5228
80,2,1,0,1,0,0,0,1100,0,14,1114
70,1,1,0,6,1,0,500,800,30,11,1341
60,2,1,1,5,1,0,690,1500,25,20,2235
270,4,4,4,5,1,0,4500,12850,1834,163,19350
70,2,1,1,3,1,0,800,1300,44,17,2161
300,6,2,2,0,1,0,0,6000,242,107,6349
220,4,5,3,14,1,1,2050,12000,750,153,14950
64,2,2,2,7,1,0,450,1600,34,24,2108
80,3,3,1,7,0,0,1100,1470,0,19,2589
56,1,1,0,9,1,1,625,2500,81,32,3238
161,4,3,2,1,1,0,1450,10000,467,127,12040
35,1,1,0,0,1,0,350,1350,0,18,1718
720,4,6,5,0,1,1,0,12750,2613,192,15560
280,4,5,4,6,0,0,2500,3200,750,41,6491
96,3,2,0,2,1,0,408,2100,84,31,2623
236,3,4,4,10,1,0,1600,11000,440,140,13180
81,3,2,1,4,1,0,204,1510,0,20,1734
62,2,1,1,1,1,0,580,1650,92,21,2343
125,3,2,0,2,1,0,150,1200,69,16,1435
37,1,1,1,6,1,1,890,4150,110,53,5203
60,2,2,1,11,1,0,1680,4000,200,51,5931
230,4,2,3,1,1,0,3600,5000,1551,64,10220
210,4,5,2,1,1,1,3800,8500,0,108,12410
450,4,3,8,0,1,0,0,14000,175,211,14390
234,3,5,4,0,1,1,0,3680,400,56,4136
135,4,3,2,2,0,0,868,2450,308,33,3659
395,4,5,3,0,1,0,0,6000,122,91,6213
92,2,2,1,2,1,0,450,1700,67,25,2242
412,3,5,6,21,1,0,2000,3952,459,51,6462
42,1,1,1,27,1,0,560,5300,100,68,6028
33,1,1,0,12,0,1,385,3000,125,39,3549
28,2,1,1,0,1,0,0,600,0,11,611
190,4,4,2,0,0,0,0,4450,223,67,4740
165,4,3,3,10,1,1,2440,6300,1292,80,10110
44,1,1,0,5,1,0,355,1200,20,18,1593
60,2,1,1,4,1,0,603,1275,109,17,2004
380,3,3,2,1,1,0,3580,11000,1084,140,15800
73,2,1,0,4,1,0,375,830,120,11,1336
19,1,1,0,5,1,0,620,1100,85,15,1820
230,3,5,4,6,1,0,1800,7500,0,96,9396
37,1,1,1,2,1,0,500,2500,0,37,3037
124,3,2,3,7,1,0,1450,6600,300,84,8434
115,3,2,1,8,1,1,1090,2680,114,35,3919
600,3,3,4,0,1,0,0,5500,384,83,5967
700,5,5,4,0,1,1,1380,15000,1667,229,18280
35,1,1,0,1,1,0,100,815,17,12,944
15,1,1,0,3,0,1,0,1100,0,15,1115
80,3,2,1,2,1,0,570,1450,125,19,2164
48,1,1,0,4,1,0,200,700,38,11,949
96,3,2,1,2,1,0,922,1500,137,20,2579
150,3,2,1,7,1,1,1843,6715,340,86,8984
105,3,2,2,2,0,0,1681,3300,390,44,5415
204,4,4,4,22,0,1,2701,10000,760,134,13600
125,3,1,2,11,1,0,1317,2600,170,33,4120
50,2,1,0,3,0,0,490,2300,50,30,2870
250,3,4,3,0,0,0,0,3740,234,57,4031
300,3,4,3,7,1,1,3000,2000,1250,26,6276
80,2,1,1,0,1,0,0,1500,55,23,1578
130,3,4,1,2,0,0,1200,1400,334,19,2953
120,2,3,0,2,1,0,904,3300,195,42,4441
540,3,3,4,9,1,0,6200,15000,3500,191,24890
23,1,1,0,23,1,0,392,2100,41,27,2560
15,1,1,0,0,0,1,0,2500,0,32,2532
72,1,2,2,19,1,0,900,4000,200,51,5151
95,3,2,2,7,1,0,985,2300,122,30,3437
330,4,5,4,13,1,0,2870,10000,1119,127,14120
75,2,2,2,7,0,1,1600,6600,400,84,8684
53,1,1,1,4,1,0,690,4398,200,56,5344
178,3,2,1,2,0,0,1200,1900,180,25,3305
150,3,2,0,0,1,0,0,4000,24,61,4085
50,2,1,1,4,1,0,520,1200,30,16,1766
150,3,2,1,0,0,0,0,2500,59,38,2597
25,1,1,0,0,1,1,286,984,11,15,1296
210,3,4,4,13,0,0,3150,12000,1155,153,16460
75,3,2,1,4,1,0,600,1500,75,20,2195
200,2,4,3,12,1,0,1897,15000,827,200,17920
350,4,4,0,0,1,0,0,8000,989,121,9110
49,2,1,1,7,1,0,360,1150,30,17,1557
40,1,1,0,4,0,1,0,2000,0,30,2030
45,1,1,1,2,0,1,1900,4200,350,54,6504
46,1,1,1,8,0,1,900,7600,118,97,8715
80,2,2,2,15,1,0,2000,11000,0,140,13140
30,1,1,0,3,1,1,400,2850,0,37,3287
80,2,2,2,0,1,0,50,2200,173,34,2457
105,2,2,1,10,1,0,1780,1530,134,20,3464
105,3,2,2,7,1,0,1170,2000,219,27,3416
114,3,1,0,0,1,0,0,2570,150,39,2759
200,3,3,4,0,1,0,0,7000,425,106,7531
120,3,3,2,5,1,0,800,3000,167,44,4011
60,2,2,1,11,1,0,647,4000,21,51,4719
90,2,1,1,1,1,0,1000,3000,50,39,4089
53,2,1,0,3,0,0,535,1800,50,24,2409
80,2,2,5,0,1,0,0,3000,59,46,3105
87,4,2,2,4,1,0,784,1600,106,21,2511
110,3,1,1,1,1,0,557,5000,188,65,5810
113,4,2,1,3,1,0,1587,4000,429,54,6070
170,3,2,2,5,0,0,2199,5000,423,64,7686
150,3,2,0,1,0,0,700,3000,42,39,3781
60,2,2,1,11,1,0,469,1500,51,22,2042
43,1,1,0,4,0,1,290,2100,66,31,2487
130,3,2,2,4,1,1,800,3500,0,45,4345
69,3,2,0,7,1,1,650,1900,185,25,2760
306,3,2,2,0,1,0,0,2500,422,38,2960
187,3,2,3,0,1,0,500,3500,193,53,4246
385,3,4,3,0,1,0,0,9000,1500,136,10640
355,4,4,3,0,1,0,0,7300,660,110,8070
90,2,1,1,2,1,0,405,1100,380,17,1902
190,3,4,4,0,1,0,0,5000,275,76,5351
181,2,1,2,0,1,0,0,1400,132,22,1554
350,3,5,4,13,1,0,4000,3490,1750,45,9285
168,5,3,2,2,1,0,1443,2900,408,39,4790
73,2,1,0,1,1,0,1600,2800,204,37,4641
378,5,5,4,4,1,0,4000,3000,2000,39,9039
60,2,1,1,0,1,0,0,1300,180,20,1500
362,4,5,0,19,0,0,4138,15000,1975,200,21310
90,3,2,0,0,1,0,0,1700,136,26,1862
42,1,1,0,4,0,1,500,1973,79,26,2578
56,2,1,1,18,1,0,568,1000,88,13,1669
16,1,1,0,1,0,0,0,850,30,11,891
90,2,2,2,15,0,1,1400,10000,0,127,11530
67,1,1,0,13,1,0,375,850,55,12,1292
488,4,3,3,0,1,0,14130,6400,1214,82,21820
30,1,1,0,10,1,0,850,1100,60,15,2025
290,6,3,4,0,1,0,0,8000,1525,121,9646
266,3,3,4,10,1,0,4700,6400,1500,82,12680
47,2,1,1,4,1,0,260,900,25,12,1197
590,6,6,2,0,1,1,750,8000,975,122,9847
900,4,9,8,1,1,0,0,15000,5700,226,20930
86,2,1,1,0,1,0,0,2200,110,34,2344
290,3,3,2,0,1,1,0,15000,1000,226,16230
84,3,2,2,4,1,0,750,3300,100,49,4199
160,3,1,2,0,1,0,0,5000,225,76,5301
37,1,1,0,3,0,1,470,3500,127,45,4142
73,3,1,1,4,1,0,308,850,46,11,1215
350,4,5,5,17,1,1,2400,15000,2400,191,19990
57,1,1,0,2,1,0,200,1100,10,15,1325
48,1,1,0,9,1,0,350,650,21,9,1030
30,1,1,0,8,1,0,390,800,25,11,1226
198,6,3,4,0,1,0,0,2000,145,31,2176
47,1,1,0,2,0,0,300,1000,59,15,1374
60,2,1,1,3,1,0,250,800,22,12,1084
230,3,3,0,9,1,1,1700,5000,109,64,6873
90,2,1,1,0,0,0,0,1520,0,25,1545
129,3,2,1,8,1,1,1200,3255,167,42,4664
240,4,4,4,22,1,0,1980,6672,417,85,9154
55,1,1,0,14,1,0,700,1020,29,15,1764
52,1,1,0,0,1,0,150,1200,42,18,1410
250,3,4,3,8,1,0,1610,6000,1089,77,8776
200,3,2,2,19,1,0,2573,10000,1121,127,13820
312,4,3,3,1,1,0,1498,2300,463,31,4292
230,5,5,3,0,1,0,0,9900,620,149,10670
72,2,2,2,9,1,0,750,2480,209,32,3471
55,2,1,0,5,1,1,620,2400,24,31,3075
72,2,2,1,2,0,1,914,3600,133,47,4694
50,2,1,0,0,1,0,0,1200,83,19,1302
17,1,1,0,1,1,0,0,2700,5,35,2740
160,3,3,2,4,1,0,150,2400,263,32,2845
214,4,4,3,5,1,0,2638,6520,1187,83,10430
65,1,1,0,0,1,0,300,1800,30,24,2154
136,3,2,1,10,0,1,1300,6500,267,47,8114
70,2,2,1,6,1,0,440,1900,57,28,2425
38,1,1,0,2,1,0,340,650,350,10,1350
450,8,5,5,0,1,0,0,8000,1000,121,9121
67,2,1,1,2,1,0,1217,2200,130,29,3576
20,1,1,0,1,0,0,0,1100,35,14,1149
41,1,1,0,12,1,0,290,1530,60,20,1900
50,2,1,1,7,1,0,500,1550,7,20,2077
205,3,3,3,0,1,0,0,5525,575,84,6184
100,3,2,1,0,1,0,0,3300,500,50,3850
190,3,4,4,16,1,1,2849,15000,1160,191,19200
45,2,1,0,0,1,0,0,1350,0,23,1373
57,1,1,1,2,1,0,605,800,66,11,1482
88,1,2,2,3,1,0,340,1600,40,24,2004
70,1,1,1,10,1,1,459,3400,80,44,3983
76,2,2,0,11,1,1,646,2800,0,36,3482
36,1,1,0,10,1,0,450,1370,29,18,1867
61,2,2,2,11,1,0,445,2500,42,37,3024
280,4,3,6,0,1,1,0,12500,706,188,13390
480,5,6,3,0,1,0,0,5000,1000,76,6076
45,1,1,1,17,1,1,0,1950,0,25,1975
42,1,1,0,9,1,1,1290,1500,184,20,2994
62,2,1,0,4,1,0,352,736,28,11,1127
38,2,1,0,2,1,0,90,1500,0,20,1610
44,1,1,1,8,0,1,578,2400,0,31,3009
75,3,2,2,11,1,0,630,2800,167,36,3633
66,2,1,1,2,1,0,650,1250,0,17,1917
125,3,3,2,0,1,0,0,2800,38,43,2881
62,2,1,2,7,1,0,609,1500,90,20,2219
77,2,1,1,5,1,0,1148,3100,464,40,4752
136,2,4,2,7,1,0,1540,4800,242,61,6643
200,4,2,1,5,1,0,2115,5000,328,64,7507
35,1,1,0,1,0,0,250,1305,0,17,1572
250,4,3,2,0,1,1,10,4500,100,68,4678
90,2,2,2,0,1,1,0,4100,0,62,4162
72,2,2,1,7,1,0,480,850,9,11,1350
168,3,3,5,16,1,0,1675,3500,184,45,5404
360,3,4,3,5,1,1,4000,13200,500,193,17890
38,1,1,1,9,1,0,500,740,30,10,1280
23,1,1,1,26,1,0,487,2300,59,30,2876
440,3,3,3,7,0,0,100,10500,84,154,10840
120,3,3,2,9,1,1,1200,3500,109,45,4854
90,2,2,0,5,1,0,830,2500,84,33,3447
125,4,2,0,7,1,0,1006,1632,150,14,2802
200,3,4,3,6,1,1,1800,5058,1200,65,8123
190,3,3,2,5,1,0,1800,3260,292,42,5394
123,3,2,1,3,1,0,363,2600,143,35,3141
53,2,1,1,0,1,0,284,2000,41,26,2351
70,2,1,1,2,1,0,560,2180,60,29,2829
90,2,2,2,17,1,1,1500,12200,454,155,14310
95,3,2,0,0,1,0,0,1590,0,24,1614
74,3,1,1,4,1,0,474,900,40,12,1426
64,1,1,1,15,0,0,620,3600,0,46,4266
155,4,5,3,14,0,0,1850,6000,625,77,8552
125,3,1,2,3,0,0,1000,2200,159,29,3388
40,1,1,1,9,1,1,350,1580,25,21,1976
350,3,2,4,0,1,1,0,6522,492,116,7130
417,3,5,8,0,1,0,0,7650,450,126,8226
350,4,4,4,0,1,0,0,6000,192,107,6299
40,1,1,1,8,0,0,440,2800,100,36,3376
30,1,1,1,15,0,1,668,3500,127,45,4340
142,3,4,2,4,1,0,1100,4500,375,58,6033
110,3,3,2,5,1,1,1300,4000,300,59,5659
100,4,4,1,0,1,0,0,10000,9,151,10160
377,5,4,3,0,1,0,0,8000,900,121,9021
230,2,3,3,17,1,1,2575,8000,633,102,11310
35,1,1,0,5,0,1,450,1800,91,7,2348
32,1,1,1,16,1,0,533,2900,0,37,3470
74,2,1,1,5,1,0,569,2024,71,8,2672
147,2,3,4,19,1,0,2600,1200,375,16,4191
35,1,1,0,3,1,1,480,2500,60,32,3072
26,1,1,0,7,1,1,630,1500,84,20,2234
70,2,2,1,5,1,1,517,1700,5,22,2244
150,3,3,3,19,1,1,1800,2800,740,36,5376
