average_rating,num_pages,ratings_count,text_reviews_count,publication_date
3.57,67,9358,995,1107036000.0
3.78,347,9318,907,1126472400.0
4.14,317,120,15,739832400.0
4.53,32,5239,76,886370400.0
3.92,827,1505,175,899931600.0
3.99,480,11857,564,673045200.0
3.43,377,393,55,615675600.0
3.43,256,1356,72,616626000.0
3.22,224,460,41,1081198800.0
3.48,272,2492,145,757375200.0
3.64,339,3100,212,616626000.0
4.13,1085,5296,587,1164060000.0
3.96,547,1415,177,1120510800.0
3.69,152,2161,230,922914000.0
4.01,784,762,213,946677600.0
4.07,773,8086,602,1073080800.0
3.69,385,702,69,873061200.0
4.01,776,29764,2164,1162245600.0
3.50,193,334,34,483656400.0
3.80,352,2473,220,841266000.0
3.89,227,2656,336,1128373200.0
4.17,222,11889,738,654728400.0
3.80,272,2962,255,797547600.0
3.86,240,2842,292,1095109200.0
4.21,238,26934,1825,654728400.0
3.81,234,2070,169,798757200.0
4.50,1122,1564,108,1161032400.0
3.87,231,23656,1706,1132005600.0
3.89,308,43200,1873,1143496800.0
3.79,203,12410,734,544741200.0
3.64,96,3672,195,552603600.0
3.89,179,2998,164,531180000.0
3.89,256,74,2,788911200.0
3.84,306,17977,1157,1161032400.0
3.94,320,16099,503,638917200.0
3.90,217,361,36,691538400.0
3.23,145,6688,562,1169503200.0
3.96,275,11744,443,746830800.0
3.77,104,2390,120,1024261200.0
4.38,1075,21,1,1036620000.0
3.93,608,52522,2780,1135634400.0
3.40,211,213,26,1138744800.0
4.15,262,719,86,638661600.0
3.80,544,4762,512,997131600.0
3.91,272,62,4,1012255200.0
4.39,576,278,20,905979600.0
4.01,88,2862,262,1147813200.0
3.78,542,2829,334,980978400.0
3.93,144,105,5,780958800.0
4.13,100,102,2,975621600.0
3.77,249,478,12,1151355600.0
4.03,828,1577,49,1097442000.0
3.95,112,73,8,960843600.0
3.68,6,408,96,1128978000.0
4.11,397,1693,100,1158008400.0
4.14,216,1,0,599608800.0
3.81,328,6485,966,1054414800.0
3.81,532,367,73,1080766800.0
3.80,224,1371,43,642546000.0
3.98,296,793,28,1108591200.0
3.80,456,549,42,1154379600.0
3.85,575,288,31,1116104400.0
3.81,245,26381,1109,1150146000.0
3.73,272,62089,3324,1088715600.0
3.51,419,474,19,830984400.0
3.77,540,166046,6446,1145912400.0
4.08,32,1773,274,1112302800.0
3.72,408,286,10,658965600.0
3.85,222,40,2,1025816400.0
3.93,191,27,0,1093986000.0
4.11,304,7300,266,1049144400.0
4.11,1392,211671,6245,898722000.0
4.13,352,2403,210,1157662800.0
3.69,1168,322483,14702,933454800.0
3.68,224,2750,108,-192067200.0
3.87,752,1886,229,1114462800.0
3.51,176,11462,467,-163036800.0
3.63,105,110952,7277,943999200.0
3.91,464,23199,1086,820447200.0
3.88,340,3501,153,521758800.0
3.96,681,18,2,854748000.0
3.95,416,150,7,1149109200.0
3.88,368,646,83,1153774800.0
4.23,192,12180,630,1032210000.0
3.62,286,51,5,1080766800.0
3.09,571,1601,284,1072908000.0
3.63,231,8854,672,1057525200.0
3.55,277,17155,1841,1146517200.0
3.77,826,44,3,1074636000.0
3.59,528,234,11,1097096400.0
3.77,391,33321,2925,1127768400.0
3.59,164,8703,417,937947600.0
4.19,352,6375,179,1210626000.0
3.97,118,7888,411,1066078800.0
4.07,496,130,5,1139263200.0
3.98,176,4508,278,1139263200.0
3.99,533,397,47,1097528400.0
3.60,112,5856,377,1098133200.0
4.07,425,32569,1058,1094072400.0
4.29,288,37,6,1116104400.0
3.75,363,1,0,1143838800.0
3.83,128,11,0,1093986000.0
4.03,480,0,0,1146430800.0
0.00,295,0,0,999291600.0
3.88,287,6870,237,1144098000.0
4.25,1139,83184,4249,1036101600.0
4.10,418,5,0,985986000.0
4.26,815,19320,565,1118696400.0
3.93,927,30872,1735,1095714000.0
3.61,448,2465,137,1117486800.0
3.25,308,4657,223,981410400.0
4.19,499,71042,2767,957214800.0
3.68,640,4731,270,1117486800.0
4.20,464,1567,65,1143496800.0
4.03,438,188100,6612,965163600.0
4.16,450,1474,30,1117573200.0
4.24,381,1929,72,1101852000.0
4.17,240,18602,1379,1032382800.0
3.95,272,3702,149,1115758800.0
4.17,257,265,31,582152400.0
4.27,259,51,7,1146344400.0
3.86,192,920,76,1146517200.0
3.86,197,1631221,55843,736203600.0
4.57,192,9013,153,1158613200.0
4.56,192,16666,299,1126558800.0
4.57,192,11451,161,1153170000.0
4.50,192,111091,1427,1115067600.0
4.55,200,10752,294,1131400800.0
3.86,198,251,32,909871200.0
4.52,192,14923,419,1120510800.0
3.82,274,26922,1726,1131400800.0
3.60,360,1156,68,1038866400.0
3.87,103,1755253,25554,1010440800.0
3.74,464,20529,1592,1125954000.0
4.02,182,142121,8782,1081717200.0
3.83,215,30231,1130,1246914000.0
4.11,503,280309,3703,1132610400.0
4.11,434,1301083,19296,1132005600.0
4.11,497,2122,256,1133388000.0
4.08,144,145,8,1129755600.0
4.11,497,4189,462,896907600.0
3.93,334,1556,158,1052168400.0
3.44,58,9,2,1138744800.0
3.41,95,59,7,1028149200.0
4.70,0,22,4,1104530400.0
3.89,736,2418736,21303,1143838800.0
3.89,508,196,20,1133388000.0
3.89,18,65,7,1133388000.0
3.84,489,1679706,35877,1143496800.0
3.84,467,1120,105,1143496800.0
3.84,744,377,16,1115067600.0
3.71,736,4919,410,1143838800.0
3.71,585,3353,183,1083358800.0
3.71,448,61,4,1122843600.0
4.04,383,456,41,1107208800.0
4.03,258,61760,2600,907189200.0
4.18,320,88897,2334,1125522000.0
4.18,368,48,9,1091826000.0
3.58,256,173,14,1149627600.0
3.95,288,253,17,1117573200.0
3.66,384,12748,948,1104184800.0
4.26,194,76451,3400,1201816800.0
4.26,4,86,15,1118955600.0
4.21,480,9498,637,1115672400.0
4.07,386,166916,6243,1151960400.0
4.22,192,1299,30,217116000.0
3.62,284,31,5,963608400.0
3.98,418,200744,7656,1236117600.0
3.93,5,26,2,1110837600.0
3.74,399,190039,4922,1120510800.0
3.74,384,811,77,1017867600.0
4.07,269,297533,14935,1140472800.0
3.78,422,72361,2334,1159218000.0
4.51,1344,11208,1237,174344400.0
3.75,320,28,1,1153774800.0
3.74,201,3877,275,928962000.0
3.65,288,401,63,1112302800.0
3.95,405,814,51,1069797600.0
4.13,245,228,16,1128114000.0
4.07,432,39,1,1050613200.0
3.15,368,26,8,1116104400.0
3.99,68,11178,623,729813600.0
3.67,392,3379,67,1095973200.0
4.15,256,22843,936,654728400.0
3.31,214,13,1,738882000.0
4.08,64,8,2,983397600.0
3.96,256,14103,74,1144098000.0
3.95,256,40125,217,1109023200.0
4.09,240,8822,55,1175547600.0
4.09,256,3697,34,1159218000.0
4.06,304,1426,16,1048543200.0
3.92,287,275,15,1096578000.0
3.97,320,628745,13034,1161032400.0
3.97,250,193,23,1154379600.0
3.97,496,98,5,1165528800.0
4.27,338,189,25,1149109200.0
3.91,401,4318,668,1083531600.0
3.91,448,177,26,1132783200.0
3.49,400,102,8,936133200.0
3.65,515,206011,10821,1127336400.0
3.56,256,43,6,1139522400.0
3.41,191,201,24,1143496800.0
4.05,458,873,40,1060203600.0
4.14,193,5354,281,728517600.0
3.68,542,55,4,1120683600.0
3.72,397,1820,147,1033419600.0
3.55,368,132062,3303,1333400400.0
3.62,368,18,1,908917200.0
3.55,2,43,3,1175547600.0
3.76,320,82,13,909612000.0
4.05,512,184418,4432,1024952400.0
4.05,468,495,67,326235600.0
4.26,317,85094,4155,1079474400.0
0.00,112,0,0,1117573200.0
4.18,452,60946,3167,967755600.0
4.42,392,21934,1629,1127768400.0
4.07,414,16312,175,699400800.0
3.58,721,146,4,992811600.0
3.96,354,3002,198,1151701200.0
3.90,448,3422,157,998946000.0
3.76,400,2138,125,1057006800.0
4.00,168,53653,4702,1049144400.0
3.78,176,14,2,1022706000.0
3.91,340,85,6,1145826000.0
4.10,160,226,20,97192800.0
3.92,128,29,6,1042668000.0
3.92,176,236,22,1124917200.0
4.47,157,14,0,691538400.0
4.50,125,26,4,1549836000.0
4.06,272,154,4,1150318800.0
4.35,233,18,1,904597200.0
3.85,128,28,7,921448800.0
3.95,208,8186,198,1075327200.0
3.99,716,34727,597,1043877600.0
3.99,622,227,18,-483926400.0
3.99,613,2,0,720568800.0
3.99,772,271,41,911426400.0
3.99,653,143,17,20811600.0
3.99,464,40,5,695599200.0
3.99,816,132,10,859240800.0
3.99,710,36,6,542671200.0
3.86,683,288792,3423,925333200.0
3.86,574,1058,137,858117600.0
3.86,588,692,81,1080939600.0
4.04,1556,54939,380,941407200.0
3.86,462,1919,118,1043877600.0
3.86,312,158,15,933454800.0
3.86,216,212,18,968965200.0
3.76,541,760871,6557,1164837600.0
3.76,515,1713,179,910216800.0
3.76,374,1131,78,928184400.0
3.76,324,2543,167,1043877600.0
3.76,304,262,24,933454800.0
4.35,161,69,6,978300000.0
4.22,607,414,10,938725200.0
4.13,136,67,7,1138572000.0
3.80,180,259,15,936219600.0
3.94,272,55,0,881100000.0
4.50,1808,578,25,1036620000.0
4.50,1248,62,6,687301200.0
4.02,289,609271,7139,1122843600.0
4.44,137,8159,118,760053600.0
3.64,272,888,92,799275600.0
3.31,212,1204,79,843858000.0
3.70,142,22662,945,1080594000.0
3.57,336,58917,2575,1151874000.0
3.57,208,70760,2702,1148331600.0
3.62,256,1415,68,956696400.0
3.70,210,132064,5452,1149109200.0
4.02,148,1658,125,1007157600.0
3.69,129,65,6,959634000.0
4.02,240,102,16,959547600.0
4.29,450,489,57,1427148000.0
4.32,496,208,7,-1609459200.0
3.72,172,610,15,749422800.0
4.35,400,38,0,-1546300800.0
3.90,530,154,21,896648400.0
3.90,554,24,4,900622800.0
4.29,480,35,0,-1483228800.0
4.50,34,2,0,602114400.0
4.03,221,4483,56,-469497600.0
4.21,228,3334,46,-30326400.0
4.21,307,560,8,-35596800.0
4.40,312,679,85,1154379600.0
4.17,432,1464,21,649458000.0
4.00,255,541,15,695426400.0
4.31,264,790,12,1018818000.0
4.03,206,9197,120,1048716000.0
4.23,432,61,4,757375200.0
3.87,431,201,9,1032123600.0
4.14,360,164,8,1138226400.0
3.88,160,154,13,982792800.0
3.78,192,9,0,973720800.0
3.63,64,34,4,1026853200.0
3.86,128,116,6,1090011600.0
4.10,282,158,2,1008799200.0
4.26,528,27,5,792799200.0
3.83,142,1950,95,633823200.0
4.47,464,30,4,904597200.0
3.87,116,367,35,1155157200.0
4.04,160,23,1,1036015200.0
4.20,69,5,0,-135734400.0
4.03,528,29,2,943999200.0
4.07,605,25,3,1024088400.0
4.03,144,12,1,1141855200.0
4.43,672,46,7,712616400.0
4.02,171,712,53,-19958400.0
4.10,188,389,26,696895200.0
4.02,304,77,7,1097096400.0
4.02,335,28726,591,444952800.0
4.02,224,303,21,905806800.0
4.10,160,4303,62,-263174400.0
4.02,208,215,25,1094245200.0
4.02,178,12,3,878335200.0
4.10,358,74,7,712616400.0
4.03,95,31,3,1074722400.0
4.02,127,63,8,1074549600.0
4.10,232,12,2,883605600.0
4.02,151,89,8,843512400.0
4.10,208,1,0,1087419600.0
4.14,254,5032,36,-19958400.0
3.97,288,553,46,830898000.0
4.27,420,2883,40,983397600.0
3.97,259,45589,726,1036101600.0
3.97,430,2979,288,946850400.0
3.97,304,109,7,1047679200.0
3.97,223,52,3,782427600.0
4.14,218,135,9,-526176000.0
3.94,178,13358,199,905979600.0
3.70,75,141555,1776,1150923600.0
3.97,390,8,1,-357696000.0
3.70,214,218,1,1154379600.0
3.70,144,740,57,1120165200.0
4.06,624,6086,79,468108000.0
3.94,256,96,8,841093200.0
4.21,577,1998,33,446940000.0
3.83,336,4,0,886024800.0
3.77,480,1,0,905806800.0
3.95,241,3833,120,1043877600.0
3.42,96,23,1,1051736400.0
3.75,254,13,2,-1468800.0
4.07,624,69,10,913672800.0
3.94,224,391,27,-184377600.0
4.03,400,14,2,1041804000.0
4.21,608,58,4,1020200400.0
2.80,80,5,0,441496800.0
4.07,376,14,3,812494800.0
3.85,98,19,2,2671200.0
3.60,408,262,13,919893600.0
3.85,132,30604,552,1046469600.0
3.69,335,42,1,270334800.0
4.33,238,5,2,955573200.0
3.88,226,1054308,35537,1084827600.0
3.64,372,4067,357,1154984400.0
3.98,272,138101,2513,1088629200.0
3.94,55,24985,1751,1133474400.0
3.99,267,105507,3838,1041285600.0
3.46,176,75,12,998859600.0
4.17,144,240,30,991342800.0
4.14,209,331,24,1247605200.0
3.76,209,69,12,1091307600.0
3.96,218,1279,77,1204322400.0
3.76,227,1098,65,1120165200.0
2.83,664,0,0,1110492000.0
3.50,854,0,0,1122584400.0
4.05,159,453,60,1057006800.0
3.92,416,142,24,1038693600.0
3.92,905,104,16,968706000.0
4.04,144,271,21,938725200.0
4.27,576,1643,97,975016800.0
4.03,191,2335,67,-377827200.0
3.92,296,84,8,725839200.0
3.55,176,259,30,1125349200.0
3.71,144,236,33,991861200.0
3.94,540,29,3,1083358800.0
4.07,302,2488,266,988664400.0
4.07,478,11,0,1044050400.0
4.05,559,710,64,797893200.0
4.05,723,48223,764,1091480400.0
4.05,624,30,8,1069020000.0
4.27,584,229,16,884815200.0
4.32,560,32,3,253663200.0
4.36,524,78,8,399675600.0
4.02,400,98,5,-1293840000.0
4.12,451,432,14,1105999200.0
4.52,499,61,4,473378400.0
4.42,496,813,14,220917600.0
4.08,152,12,0,804546000.0
3.71,222,7,1,311464800.0
4.62,440,12,0,879631200.0
3.64,197,36,5,1188594000.0
3.64,208,264,14,1054760400.0
4.07,640,14,0,934491600.0
3.86,594,30,2,700956000.0
3.79,345,122,16,1130796000.0
4.12,302,32,3,523573200.0
3.40,334,10,1,1017867600.0
3.73,212,10,0,791071200.0
3.42,408,1416,217,1146690000.0
4.06,336,2799,166,1060635600.0
3.95,336,11990,831,1041890400.0
3.61,259,10679,899,1144616400.0
4.03,518,4356,404,1121029200.0
3.87,256,633,60,860619600.0
3.98,207,800349,18198,853711200.0
3.92,256,55106,1503,986072400.0
4.26,562,73572,4280,1060635600.0
4.01,519,20909,944,1162764000.0
3.78,354,2456,115,1153774800.0
3.86,172,274649,7203,978300000.0
4.17,40,4541,378,1092085200.0
2.67,196,9,2,1164924000.0
3.63,240,168362,5762,1020200400.0
4.04,168,15,3,276037200.0
4.04,168,313,27,909612000.0
4.08,304,51,2,901746000.0
4.45,128,4244,99,810421200.0
4.26,333,2399,253,1076450400.0
4.26,392,1821,210,1125522000.0
4.26,476,1146,166,1115240400.0
4.26,392,1628,171,1095627600.0
4.00,399,7481,1022,1057784400.0
3.71,160,330,40,907621200.0
4.17,368,351406,11701,940280400.0
4.01,288,1910,136,999550800.0
3.68,616,87570,2800,1145307600.0
3.68,495,38,0,1136066400.0
4.07,342,43,1,1160600400.0
3.65,144,273,36,599608800.0
4.07,449,1479727,18458,1081198800.0
4.07,536,1395,131,1096578000.0
4.07,562,462,45,946677600.0
4.07,389,166,9,1031000400.0
4.33,1064,3124,87,1108591200.0
4.07,327,83,9,1075586400.0
3.84,496,131,28,1083358800.0
3.84,409,1343,183,1090702800.0
4.00,96,10,1,1010613600.0
3.84,429,730,88,1070229600.0
3.84,432,39,9,732405600.0
4.16,592,9718,216,715294800.0
4.21,416,1432,61,1170194400.0
4.30,848,32,2,749509200.0
4.01,887,1235,146,1026162000.0
3.99,928,355,17,1139263200.0
3.85,416,4873,501,766875600.0
3.82,224,552,81,1021237200.0
3.83,830,13212,394,943480800.0
3.71,176,4532,278,906670800.0
4.06,407,59,1,694216800.0
3.84,112,127,10,1125522000.0
4.40,240,11515,139,1004565600.0
3.58,96,78,9,1001451600.0
4.57,768,1213,78,1151010000.0
3.66,256,1625,85,1032123600.0
3.81,320,6146,150,1032123600.0
3.43,192,1485,76,1032123600.0
2.67,96,3,1,1027285200.0
3.80,88,3,1,1104530400.0
3.85,320,76,6,645915600.0
3.75,276,3,0,1100728800.0
3.77,124,56,4,859842000.0
5.00,364,0,0,-1510272000.0
3.86,127,7,1,675723600.0
4.47,1076,1107,48,812494800.0
4.50,1199,1324,66,812494800.0
4.45,1016,241,11,1034629200.0
4.08,265,13233,570,713566800.0
4.16,384,4952,162,590014800.0
4.01,231,103400,4076,584658000.0
4.22,379,26389,1619,587336400.0
3.60,448,983,130,1126558800.0
3.82,205,214,31,1128114000.0
3.97,196,250,12,1128978000.0
4.22,2,10,2,1095627600.0
3.89,448,10135,330,1140732000.0
4.04,588,13563,235,834526800.0
3.83,368,2324,88,1075154400.0
3.95,424,573,11,363819600.0
3.82,192,1555,63,866062800.0
3.61,244,21,3,928443600.0
3.92,212,515,37,469836000.0
4.14,512,4786,92,481150800.0
4.17,256,817,63,846799200.0
4.22,176,24035,828,1127768400.0
4.15,216,29607,645,1004997600.0
4.07,1160,1682,51,1128373200.0
4.29,304,1469,22,907880400.0
3.94,224,257,10,1055797200.0
4.02,160,674,30,612651600.0
4.09,152,989,40,970952400.0
3.83,188,4774,178,840142800.0
4.31,352,51,5,1138744800.0
4.13,859,371,12,741387600.0
3.96,192,429,39,980978400.0
3.94,752,317,14,933454800.0
3.87,704,271754,10063,841525200.0
4.24,624,69,6,1162332000.0
3.10,192,31,2,1129582800.0
4.23,400,1392,136,1083013200.0
3.58,336,4462,446,1145307600.0
3.91,342,14769,658,1088629200.0
3.93,277,4254,355,1105394400.0
4.17,400,13334,502,1097442000.0
4.39,112,169,22,1001970000.0
4.55,1103,300,31,810075600.0
3.08,288,57720,3535,1114462800.0
4.55,1103,267,24,770418000.0
4.16,672,2278,69,860014800.0
4.14,249,441462,11308,1079560800.0
3.79,128,1442,108,1094158800.0
3.77,3,393,77,1146430800.0
2.83,80,4,0,975967200.0
3.66,190,9373,606,659656800.0
3.62,230,378,31,828133200.0
3.83,464,105,7,958597200.0
3.69,110,3190,150,1106776800.0
3.83,460,13499,388,1075932000.0
3.80,632,5,1,759535200.0
4.00,529,540349,19548,1063659600.0
4.28,916,133840,6118,1159218000.0
4.06,751,282649,5325,990478800.0
3.50,455,20,5,1149109200.0
4.14,512,275,28,1072735200.0
4.05,288,2622,78,982360800.0
4.17,533,57,0,1088456400.0
3.65,432,10,0,977954400.0
3.64,257,37,9,1159650000.0
4.00,729,4797,124,941058000.0
4.16,288,144,10,867790800.0
4.07,192,197,7,865803600.0
3.77,664,123,13,1076018400.0
3.62,46,55,7,1009836000.0
4.10,368,2505,233,653346000.0
4.24,192,1874,114,1073340000.0
3.90,384,336,26,764200800.0
4.14,240,39947,1622,1144875600.0
4.15,32,156,13,725493600.0
3.72,294,35050,1833,999291600.0
3.67,344,360,26,1118782800.0
4.12,1120,71764,1937,740005200.0
4.20,320,3993,217,1126558800.0
3.89,162,5658,699,758412000.0
3.58,384,585,78,1162245600.0
3.74,376,623,68,1064869200.0
3.80,232,10635,656,760053600.0
4.07,15,563,133,1136239200.0
3.96,288,2769,200,1031605200.0
4.07,200,1827,154,841525200.0
4.02,344,48,5,949356000.0
3.89,303,2842,182,876430800.0
4.30,1328,446,29,516229200.0
4.25,848,55,9,980719200.0
4.22,1137,67,9,638917200.0
3.95,272,749,62,1028581200.0
4.08,231,41,9,157759200.0
3.69,183,40,12,673045200.0
3.93,192,3986,85,1113858000.0
3.98,6,58,15,1128027600.0
4.15,502,4689,171,960238800.0
4.38,1680,237,3,967755600.0
3.98,207,4685,74,328309200.0
4.50,1438,232,9,1117573200.0
3.85,127,5526,225,942616800.0
4.05,905,8461,369,904510800.0
3.80,611,2737,161,1041285600.0
4.01,671,3920,132,999205200.0
4.10,412,104,7,364683600.0
3.68,320,19,2,1040421600.0
3.98,240,3460,482,720568800.0
4.12,445,23064,1191,389998800.0
4.06,752,1852,285,988664400.0
4.11,302,14739,1199,631144800.0
4.20,697,12178,1042,1086037200.0
4.19,528,140014,1753,891378000.0
3.27,137,117,19,1072908000.0
4.19,640,26,2,1054414800.0
3.50,25,67,17,1125522000.0
3.71,192,161,16,1158008400.0
3.50,6,8858,885,1118869200.0
3.50,707,1260,207,1049144400.0
3.61,208,50,7,1063832400.0
3.82,104,39,5,892674000.0
3.93,156,23,4,1083272400.0
3.82,102,6,0,860014800.0
3.33,164,0,0,741474000.0
4.28,400,16,1,814136400.0
3.92,401,2790,159,1135634400.0
3.96,451,12534,141,880927200.0
4.22,374,58408,1272,1027976400.0
3.86,560,8879,693,1044914400.0
3.57,576,38,6,1167602400.0
3.00,395,1,1,675723600.0
4.03,434,33,1,1172700000.0
3.76,254,259,30,1036447200.0
3.89,104,3094,301,1112216400.0
3.89,150,372,36,1088629200.0
3.59,275,68,6,907189200.0
3.89,123,284,35,1078092000.0
4.14,864,875,33,988664400.0
3.93,432,80,11,1089666000.0
3.42,414,856,111,1119906000.0
4.12,560,1338,113,1159218000.0
4.34,120,8228,410,717886800.0
4.15,368,2594,403,1115067600.0
4.11,326,107455,7778,938984400.0
4.29,377,799,107,780699600.0
3.89,245,11016,734,1002229200.0
3.89,64,3331,242,970693200.0
3.92,346,6184,284,908485200.0
3.84,307,7649,548,1066165200.0
3.80,292,308,30,834699600.0
4.02,384,3826,191,905979600.0
3.89,380,1295,106,1093986000.0
3.80,461,1744,124,1104530400.0
3.84,441,842,69,1044050400.0
3.81,314,331,62,904597200.0
4.00,274,2862,306,1133388000.0
4.42,902,1432,45,1254776400.0
4.23,127,184293,5418,1262296800.0
4.03,228,2094,104,-615859200.0
3.63,320,488,39,1125954000.0
3.63,281,5575,502,951343200.0
4.11,732,2732,105,1144098000.0
5.00,83,1,0,1157058000.0
3.93,230,1284,90,625093200.0
3.85,165,3832,178,1104184800.0
4.00,142,54,4,1083186000.0
3.89,272,125,13,954536400.0
4.11,216,942,59,1134424800.0
3.97,301,633037,11898,1010354400.0
3.98,234,4600,88,1002661200.0
3.99,286,32079,752,1041890400.0
3.77,512,14228,668,1041285600.0
3.77,776,573,38,916696800.0
3.80,364,108,13,-31536000.0
4.27,323,10524,898,1120510800.0
4.27,11,697,180,1156194000.0
4.27,323,271,34,1161032400.0
4.02,199,66,4,811544400.0
4.05,64,13562,141,823212000.0
3.79,416,2161,50,1122843600.0
4.67,144,3,0,1083618000.0
3.59,504,85,12,901141200.0
